dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.953476	0.961347	0.896865	0.812241
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.96452	0.971086	0.91226	0.831638
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.803461	0.80712	0.653169	0.432846
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.976842	0.977288	0.927309	0.855918
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.68988	0.711937	0.577878	0.300247
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.774788	0.774578	0.700914	0.418128
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.817547	0.825276	0.737124	0.470391
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.982592	0.983711	0.938315	0.876907
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.90988	0.917441	0.83235	0.668632
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.791656	0.784704	0.684211	0.448434
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.890031	0.892228	0.815063	0.62102
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.794142	0.81049	0.740331	0.434197
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.719797	0.691443	0.615672	0.319434
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.865677	0.875413	0.77221	0.56712
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.857825	0.862647	0.773906	0.563234
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.939692	0.938719	0.872968	0.742821
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.596312	0.532538	0.532787	0.137992
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.970334	0.973865	0.913452	0.834368
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.959605	0.967686	0.905445	0.812436
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.930817	0.949945	0.864754	0.743877
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.96341	0.95693	0.909421	0.818105
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.813855	0.824566	0.742067	0.465617
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk	0.865576	0.878581	0.788014	0.577172
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk	0.784638	0.787719	0.726949	0.415884
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.841778	0.847131	0.759893	0.536481
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.854242	0.864293	0.765969	0.547589
wgEncodeAwgTfbsUwK562CtcfUniPk	0.975227	0.977074	0.922192	0.845345
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.95605	0.958895	0.892141	0.78746
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.964818	0.965532	0.90757	0.811979
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.980818	0.981976	0.938605	0.877319
wgEncodeAwgTfbsSydhK562Pol2s2UniPk	0.651032	0.645161	0.620843	0.204192
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.922688	0.944395	0.869565	0.742548
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.970029	0.97319	0.920271	0.842298
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.977295	0.977429	0.927467	0.854865
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.913141	0.931169	0.823356	0.70193
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.929527	0.93956	0.854996	0.73265
wgEncodeAwgTfbsSydhK562Brf2UniPk	0.644465	0.645303	0.656064	0.204584
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk	0.676	0.702352	0.640892	0.269601
