dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.978307987	0.97991967	0.91538628	0.828362562
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.978148423	0.982073622	0.932519386	0.866554345
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.840416354	0.840625111	0.741334402	0.523649675
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.990406057	0.99038726	0.952754259	0.90470262
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.727984962	0.721241613	0.72327044	0.338026951
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.843266848	0.854647347	0.773705179	0.521941543
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.871830159	0.877390144	0.779257183	0.577243285
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.989501162	0.990375381	0.941370768	0.879830287
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.933042493	0.934508455	0.859379368	0.720780188
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.842213445	0.842388321	0.75739645	0.481328888
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.929279719	0.932899125	0.854084812	0.695127719
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.843221533	0.854959934	0.772064467	0.493674899
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.741403024	0.727667578	0.706766917	0.354196545
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.91286287	0.919856544	0.839068062	0.660921827
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.903200523	0.908948314	0.821850677	0.615625676
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.963522738	0.965891796	0.901201756	0.798043056
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.743286189	0.659552005	0.683333333	0.354287925
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.984262312	0.986401451	0.940864761	0.883092064
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.97804874	0.982113108	0.932083272	0.866930531
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.923190661	0.945460602	0.847195358	0.688300789
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.981423375	0.981433766	0.928839508	0.860948339
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.890974787	0.89869801	0.808444097	0.594389005
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk	0.90502266	0.908874919	0.825925926	0.665763648
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk	0.839585109	0.845456356	0.768341999	0.497296895
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.896192737	0.903234019	0.811622276	0.603334541
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.900947471	0.907639157	0.822915372	0.629088494
wgEncodeAwgTfbsUwK562CtcfUniPk	0.987277963	0.988415822	0.946930406	0.895377788
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.970424309	0.960340562	0.915585218	0.825190938
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.9869337	0.986681752	0.943299263	0.884146711
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.990609446	0.991004651	0.956797045	0.91217512
wgEncodeAwgTfbsSydhK562Pol2s2UniPk	0.706888036	0.719908552	0.683158896	0.264746397
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.961256864	0.969548269	0.883870968	0.765020497
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.985282287	0.986112137	0.941325502	0.880757817
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.989739799	0.990446067	0.953082889	0.90556032
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.964690151	0.971075002	0.896252129	0.78814583
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.954791887	0.948355516	0.890872004	0.778366428
wgEncodeAwgTfbsSydhK562Brf2UniPk	0.677830907	0.724114945	0.669051878	0.1584519
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk	0.723987291	0.75722985	0.707459207	0.256266026
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.98611885	0.986817303	0.94272359	0.884091918
wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk	0.80988898	0.831545239	0.714429869	0.327719901
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk	0.828339611	0.837558129	0.754919499	0.48049335
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.905229301	0.910307139	0.823168236	0.635681497
wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk	0.826088246	0.833139488	0.753404615	0.478548336
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.993865147	0.993860971	0.966415186	0.93198162
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.974297253	0.976345898	0.917258951	0.831280142
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk	0.852579531	0.860974197	0.772169168	0.50607048
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.920106124	0.922294822	0.829380054	0.639779645
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.911931793	0.917749181	0.826039109	0.663541811
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.894678171	0.901395519	0.799511002	0.564650093
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.867564333	0.866028249	0.7875	0.536734017
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk	0.894602812	0.904328196	0.810412056	0.608056492
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.87603824	0.878388935	0.777739726	0.590242265
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.905349393	0.908016169	0.830088023	0.646083622
wgEncodeAwgTfbsSydhK562P300IggrabUniPk	0.929192014	0.932577303	0.846805377	0.679558932
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.826481338	0.816775071	0.741694915	0.462156913
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.971345253	0.972973128	0.905310414	0.804658054
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.893839506	0.893516094	0.789349112	0.569555067
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk	0.919966015	0.93575269	0.811715481	0.602608312
