dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.937105154	0.94384393	0.860154603	0.73481852
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.951245879	0.956273566	0.885361263	0.770797693
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.81669724	0.821778016	0.740361776	0.470708397
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.97015984	0.971776563	0.910394265	0.820038422
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.779578947	0.780121783	0.72061657	0.438878844
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.840205032	0.847707147	0.760119301	0.522565141
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.819335974	0.828015769	0.734693878	0.474493425
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.894779518	0.895227808	0.817391304	0.608138819
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.927774279	0.93354496	0.839914621	0.669873788
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.878380026	0.888977817	0.793066089	0.581458615
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.895077761	0.894988323	0.802733214	0.622596096
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.840752942	0.862567526	0.770346495	0.509271482
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.746211336	0.736701911	0.694267516	0.358225289
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.872590443	0.882042722	0.794081519	0.579772524
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.880709941	0.882926587	0.783313629	0.593683297
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.938157832	0.9422928	0.867202629	0.731999654
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.730388227	0.681934158	0.645290581	0.335476107
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.964273078	0.967989337	0.90383103	0.808864925
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.952418304	0.959141874	0.884407634	0.766829144
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.863891051	0.894477006	0.797494781	0.623967611
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.976421114	0.975756114	0.924810947	0.848027616
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.839299519	0.845832434	0.754657844	0.523948063
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk	0.856989269	0.864542049	0.783390411	0.551300564
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk	0.791359626	0.792164609	0.713552361	0.429869307
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.845035081	0.847630751	0.736128121	0.52099409
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.863045077	0.868628588	0.789103907	0.554690804
wgEncodeAwgTfbsUwK562CtcfUniPk	0.967010997	0.968462673	0.907888465	0.815711259
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.965930468	0.969429672	0.904130352	0.802848235
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.95305587	0.956297484	0.882528681	0.767728201
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.975936215	0.978227158	0.919366498	0.835196683
wgEncodeAwgTfbsSydhK562Pol2s2UniPk	0.684205039	0.679561303	0.620772947	0.264017241
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.953630262	0.962677704	0.894197952	0.795646387
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.968831517	0.972531571	0.909756523	0.817402048
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.971381665	0.973769258	0.9119549	0.823397919
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.910576769	0.920920683	0.828553671	0.661771179
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.938742677	0.944657324	0.865400054	0.738135928
wgEncodeAwgTfbsSydhK562Brf2UniPk	0.698121192	0.749864739	0.645011601	0.298475623
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk	0.704377533	0.727115677	0.662773723	0.299712451
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.975052694	0.975762822	0.920824026	0.83913103
wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk	0.799498013	0.802090681	0.744533947	0.437847729
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk	0.773652232	0.752441766	0.683647478	0.411660224
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.854653138	0.859003159	0.776293469	0.55334898
wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk	0.789251898	0.791930681	0.694928085	0.42452202
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.987808977	0.988467877	0.952404258	0.903697175
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.963062933	0.964983967	0.906198574	0.811606321
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk	0.819687003	0.829547935	0.747909699	0.482028869
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.872921939	0.873772001	0.793974302	0.585413921
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.854710767	0.863349467	0.776645641	0.54632518
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.878950667	0.889973405	0.787280702	0.589995872
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.863153638	0.866697845	0.782378855	0.556352486
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk	0.864407434	0.868150685	0.780233204	0.567103964
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.846058223	0.849749602	0.721464465	0.515189935
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.865088968	0.866516943	0.774399073	0.563141526
wgEncodeAwgTfbsSydhK562P300IggrabUniPk	0.893480167	0.900764639	0.810848126	0.620558554
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.804002309	0.809264922	0.715396579	0.465758062
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.946142731	0.948066561	0.875085921	0.750831455
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.866458768	0.852041055	0.763195435	0.563781935
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk	0.917841971	0.927839754	0.825242718	0.669627774
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.969588351	0.970736077	0.909839941	0.817659972
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.913377958	0.913417633	0.832282984	0.660433859
wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk	0.891460295	0.896516732	0.813442056	0.61250858
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.971788358	0.973818693	0.911503615	0.820435091
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk	0.837197352	0.840731143	0.755043228	0.526274514
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk	0.802269267	0.800125184	0.72693383	0.455674093
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk	0.747631795	0.73301448	0.662674651	0.358584859
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.790468545	0.789256439	0.714165261	0.412268914
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk	0.811285151	0.817609784	0.715789474	0.458814908
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk	0.769256667	0.774161637	0.668827342	0.395105968
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.929754555	0.940410791	0.854377285	0.711102056
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.840077429	0.84384189	0.753941056	0.457556844
wgEncodeAwgTfbsBroadK562Sap3039731UniPk	0.781928571	0.777276753	0.689446128	0.418275896
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.866002876	0.868997541	0.76161127	0.563138047
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.868685802	0.875934516	0.780826558	0.578256828
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.830090776	0.82326396	0.757346767	0.504846445
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.819773636	0.825757915	0.739215686	0.44403607
wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk	0.709185377	0.719896351	0.671509282	0.309229735
wgEncodeAwgTfbsSydhK562Kap1UcdUniPk	0.78437306	0.792449401	0.658405172	0.422131367
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk	0.863797279	0.876369533	0.785146869	0.563170951
wgEncodeAwgTfbsSydhHek293Pol2UniPk	0.816896959	0.824544527	0.734721593	0.475974748
wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk	0.792923904	0.789961652	0.712677325	0.426145157
wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk	0.82523688	0.842856184	0.75202781	0.472007576
wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk	0.89572739	0.905714069	0.812326485	0.598520196
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk	0.935961529	0.934856162	0.864664442	0.7310628
wgEncodeAwgTfbsHaibHepg2Rad21V0416101UniPk	0.955714226	0.960781594	0.889900934	0.778112816
wgEncodeAwgTfbsUtaH1hescPol2UniPk	0.811075729	0.814175672	0.71717378	0.451434908
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk	0.878703832	0.885632434	0.780292943	0.613877111
wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk	0.982593531	0.982551997	0.939785374	0.881370393
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	0.917391285	0.927318942	0.831325301	0.679870167
wgEncodeAwgTfbsBroadK562P300UniPk	0.773500273	0.789543472	0.729795918	0.395429424
wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk	0.89720471	0.899790602	0.813370936	0.627936639
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk	0.882548864	0.900154991	0.772588594	0.602200367
wgEncodeAwgTfbsBroadK562Ezh239875UniPk	0.729077635	0.678521941	0.653495441	0.324526748
wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk	0.855385595	0.851018594	0.757575758	0.551990302
wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk	0.772125668	0.765377151	0.696172249	0.400754794
wgEncodeAwgTfbsSydhGm12878P300bUniPk	0.902853596	0.902942032	0.809608541	0.648798472
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk	0.888299072	0.895141524	0.809422492	0.595664651
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk	0.90885697	0.922010469	0.836061026	0.659627051
wgEncodeAwgTfbsBroadHmecCtcfUniPk	0.969531005	0.973787013	0.914885348	0.830006553
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk	0.86891135	0.879815252	0.782310004	0.542874055
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk	0.947642244	0.956987627	0.88553079	0.780873067
wgEncodeAwgTfbsSydhK562Hmgn3UniPk	0.820174828	0.823297467	0.733202638	0.478034535
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.870450203	0.883668503	0.776618911	0.581043443
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.974737467	0.978131514	0.923555556	0.848083311
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.828447876	0.837978818	0.744115414	0.501515353
wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk	0.749882719	0.749056784	0.685251799	0.368864033
wgEncodeAwgTfbsSydhHepg2Smc3ab9263IggrabUniPk	0.942116321	0.948844853	0.870440667	0.739390018
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.79999979	0.801953936	0.717216117	0.440406715
wgEncodeAwgTfbsSydhK562Ccnt2UniPk	0.839847781	0.841953757	0.761526035	0.510474945
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.716532889	0.732840684	0.599542334	0.282410323
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.910618444	0.920106779	0.834188034	0.668721118
wgEncodeAwgTfbsSydhHepg2Mazab85725IggrabUniPk	0.839564254	0.843146338	0.761499493	0.509583428
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.917770824	0.929125591	0.835633117	0.663147436
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.96489656	0.967786947	0.903730812	0.806145398
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.821154215	0.817887621	0.742481203	0.465046373
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.967558413	0.968262052	0.909020473	0.817852689
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.961496564	0.964369342	0.897979798	0.796385917
wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk	0.967190779	0.970034444	0.90647691	0.809938498
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.963345951	0.965725682	0.899774775	0.799305119
wgEncodeAwgTfbsBroadK562Rbbp5a300109aUniPk	0.762929325	0.762689371	0.636476427	0.373352699
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.971958115	0.973560232	0.915011144	0.829830743
wgEncodeAwgTfbsUwHacCtcfUniPk	0.957704973	0.963092516	0.894139449	0.793547687
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.96315332	0.966389441	0.899792257	0.794472115
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.851113455	0.850395764	0.76053443	0.541442085
wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk	0.829550532	0.828623262	0.730547218	0.506724868
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.961620281	0.966548791	0.900781929	0.7993072
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.962565285	0.964790633	0.896459125	0.791114733
wgEncodeAwgTfbsSydhGm18526Pol2IggmusUniPk	0.799491067	0.801185949	0.733253945	0.438032675
wgEncodeAwgTfbsHaibSknshTaf1V0416101UniPk	0.838988071	0.836752315	0.721225559	0.499523474
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.881596246	0.889599774	0.797785161	0.59566056
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.924896691	0.93077207	0.845801143	0.687440615
wgEncodeAwgTfbsBroadDnd41Ezh239875UniPk	0.756076296	0.774330973	0.688821752	0.389449008
wgEncodeAwgTfbsBroadNhdfadEzh239875UniPk	0.761671462	0.767536355	0.648004147	0.369771306
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	0.870971115	0.875473672	0.789575071	0.583765744
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk	0.932690015	0.939718865	0.86042065	0.715762797
wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk	0.832009079	0.833797443	0.74989899	0.505019815
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk	0.869535846	0.882655127	0.771632471	0.573204874
wgEncodeAwgTfbsSydhHelas3Brf2UniPk	0.458447239	0.461625416	0	0
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	0.871093893	0.88112689	0.793939394	0.589025039
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk	0.846957337	0.856324123	0.780395137	0.505208382
wgEncodeAwgTfbsUtaHuvecPol2UniPk	0.823250345	0.83109015	0.727215785	0.486491355
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk	0.977104852	0.979439292	0.925057775	0.846299385
wgEncodeAwgTfbsUwHuvecCtcfUniPk	0.972946353	0.97402725	0.910544195	0.819195801
wgEncodeAwgTfbsSydhNt2d1Znf274UcdUniPk	0.910328358	0.922137668	0.833976834	0.669970149
wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk	0.777166866	0.756861839	0.593294461	0.379795854
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk	0.904873148	0.908066007	0.826042726	0.643883835
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk	0.935239715	0.934306192	0.856860809	0.722449888
wgEncodeAwgTfbsSydhK562Tblr1ab24550IggrabUniPk	0.773866807	0.77913546	0.697256858	0.39698747
wgEncodeAwgTfbsSydhGm12878Tr4UniPk	0.755113968	0.773572236	0.675052411	0.386642466
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk	0.981887861	0.982774259	0.936839288	0.872919297
wgEncodeAwgTfbsBroadNhlfEzh239875UniPk	0.742200138	0.732533438	0.666168783	0.350263903
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk	0.945088055	0.953562972	0.874687072	0.755148086
wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk	0.915142828	0.922333437	0.829148376	0.650460716
wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk	0.86401747	0.871966969	0.790554747	0.558292614
wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk	0.970163701	0.972162355	0.910904404	0.821479767
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk	0.851713043	0.857033485	0.76553608	0.540315541
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk	0.872187722	0.876787654	0.767679853	0.582868666
wgEncodeAwgTfbsBroadGm12878Ezh239875UniPk	0.752303779	0.759906466	0.684931507	0.390767764
wgEncodeAwgTfbsUtaGm19238CtcfUniPk	0.928804749	0.936830782	0.853678756	0.708396393
wgEncodeAwgTfbsUwHl60CtcfUniPk	0.977697153	0.975934701	0.922918202	0.842618258
wgEncodeAwgTfbsSydhGm12878Zzz3UniPk	0.922276688	0.931993062	0.813186813	0.623794746
wgEncodeAwgTfbsUwHffmycCtcfUniPk	0.959989661	0.964423147	0.897920827	0.796152106
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk	0.799086082	0.789497757	0.710193766	0.460629198
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk	0.861590564	0.857930519	0.769964842	0.534883351
wgEncodeAwgTfbsUwGm06990CtcfUniPk	0.967377708	0.970093956	0.906019128	0.813266491
wgEncodeAwgTfbsSydhHelas3Zzz3UniPk	0.85255814	0.845974426	0.769230769	0.552669701
wgEncodeAwgTfbsBroadK562CtcfUniPk	0.929380771	0.941150146	0.855625351	0.721717526
wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk	0.839378277	0.850991505	0.762650791	0.518896773
wgEncodeAwgTfbsUtaK562CmycUniPk	0.855102263	0.861973242	0.758226691	0.548535442
wgEncodeAwgTfbsSydhK562Znf274UcdUniPk	0.923076923	0.910547546	0.845360825	0.733814146
wgEncodeAwgTfbsSydhImr90Rad21IggrabUniPk	0.954427632	0.959655225	0.883088635	0.763855848
wgEncodeAwgTfbsSydhHepg2Pgc1aForsklnUniPk	0.685857782	0.722829286	0.626459144	0.270932425
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk	0.948989085	0.952292984	0.876876042	0.755918954
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk	0.967950924	0.969459136	0.907800076	0.814592429
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk	0.895374013	0.904246281	0.807380952	0.636176162
wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk	0.92063086	0.925296445	0.841173932	0.675709662
wgEncodeAwgTfbsHaibHct116Pol24h8V0416101UniPk	0.820532037	0.823251654	0.738929639	0.479537988
wgEncodeAwgTfbsSydhHelas3Mxi1af4185IggrabUniPk	0.838901256	0.848763889	0.754611755	0.514286901
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk	0.87047367	0.88069747	0.765974441	0.574866703
wgEncodeAwgTfbsSydhHelas3Tf3c110UniPk	0.912023008	0.929015381	0.810471204	0.652062721
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk	0.890270936	0.895193811	0.807695953	0.619884162
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk	0.801706288	0.814369454	0.731341247	0.443222383
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk	0.871842987	0.857561686	0.787545788	0.600619748
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk	0.909661858	0.911736545	0.832416766	0.658235805
wgEncodeAwgTfbsSydhGm12878Smc3ab9263IggmusUniPk	0.946668411	0.954612695	0.873938042	0.751358094
wgEncodeAwgTfbsBroadHsmmCtcfUniPk	0.963819825	0.966948276	0.900447709	0.800017758
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk	0.957608829	0.962279962	0.889378581	0.784189293
wgEncodeAwgTfbsSydhGm12878Pol2UniPk	0.781955923	0.780097247	0.702429637	0.429043622
wgEncodeAwgTfbsHaibSknmcPol24h8V0416101UniPk	0.828309238	0.829327226	0.740425532	0.499071286
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk	0.814781248	0.820165001	0.734819897	0.468911584
wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk	0.816597432	0.820327116	0.73132301	0.471222275
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk	0.86108503	0.873886234	0.754681648	0.563261825
wgEncodeAwgTfbsUtaGm19240CtcfUniPk	0.942739407	0.942583756	0.875292805	0.749587559
wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk	0.835487745	0.828101384	0.719298246	0.466322219
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk	0.8115992	0.820065583	0.741189845	0.463199877
wgEncodeAwgTfbsSydhHelas3E2f1UniPk	0.881081801	0.880797082	0.79265873	0.581422785
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk	0.838623572	0.837647564	0.7547435	0.509911402
wgEncodeAwgTfbsHaibH1hescSin3ak20Pcr1xUniPk	0.817596463	0.830911282	0.711165795	0.483664187
wgEncodeAwgTfbsHaibSknshraRad21V0416102UniPk	0.946580069	0.953311765	0.869697225	0.745332514
wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk	0.7911439	0.799595095	0.745332338	0.441895319
wgEncodeAwgTfbsSydhK562TbpIggmusUniPk	0.819638878	0.827824505	0.704467912	0.479179323
wgEncodeAwgTfbsSydhH1hescRad21IggrabUniPk	0.965235056	0.969252444	0.903492234	0.801086337
wgEncodeAwgTfbsHaibGm12892Pol2V0416102UniPk	0.777061235	0.777676743	0.701059293	0.407255036
wgEncodeAwgTfbsSydhHelas3E2f4UniPk	0.87169053	0.890440392	0.771130104	0.566897938
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk	0.851151702	0.86296049	0.710729105	0.519878782
wgEncodeAwgTfbsUwHepg2CtcfUniPk	0.968845548	0.971226952	0.911298621	0.818801277
wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk	0.837134191	0.839684077	0.758852193	0.50467052
wgEncodeAwgTfbsUtaHepg2CtcfUniPk	0.984040641	0.984771185	0.936596218	0.871446968
wgEncodeAwgTfbsSydhHelas3Irf3IggrabUniPk	0.908652016	0.919459473	0.84057971	0.678129074
wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk	0.838381234	0.848895684	0.762578616	0.522687873
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk	0.840269256	0.845775869	0.75975976	0.527915569
wgEncodeAwgTfbsSydhK562Atf3UniPk	0.885623133	0.89692738	0.794178794	0.594500795
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk	0.860696406	0.864029986	0.76090185	0.54611157
wgEncodeAwgTfbsSydhHepg2Brca1a300IggrabUniPk	0.842131336	0.853665916	0.761245675	0.53343807
wgEncodeAwgTfbsUtaHelas3CtcfUniPk	0.975980119	0.976274385	0.921546082	0.843860867
wgEncodeAwgTfbsHaibA549Taf1V0422111Etoh02UniPk	0.781440668	0.782777901	0.674483529	0.4134839
wgEncodeAwgTfbsSydhH1hescChd1a301218aIggrabUniPk	0.699790139	0.70010514	0.641723356	0.26497059
wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk	0.855577564	0.862313503	0.760147601	0.538701892
wgEncodeAwgTfbsHaibA549Pol2Pcr2xEtoh02UniPk	0.788931122	0.78027319	0.687065061	0.414757458
wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk	0.837343408	0.833981196	0.77243173	0.53167291
wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk	0.965823502	0.970064625	0.89879009	0.79119653
wgEncodeAwgTfbsSydhHepg2Pol2s2IggrabUniPk	0.740603379	0.763333147	0.710136986	0.339790833
wgEncodeAwgTfbsBroadGm12878CtcfUniPk	0.950955046	0.957457984	0.884322327	0.769117794
wgEncodeAwgTfbsSydhK562Brf1UniPk	0.435433884	0.485148441	0.431818182	-0.136363636
wgEncodeAwgTfbsUtaProgfibPol2UniPk	0.805745762	0.803868313	0.723930269	0.451061892
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk	0.848504205	0.855759503	0.763895971	0.534502341
wgEncodeAwgTfbsUwGm12878CtcfUniPk	0.9696283	0.972173908	0.910633921	0.820917981
wgEncodeAwgTfbsSydhHepg2Mxi1UniPk	0.821829647	0.827648318	0.714860515	0.478673378
wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk	0.869481376	0.875616274	0.736749117	0.545999425
wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk	0.96016839	0.964316289	0.89843342	0.793473048
wgEncodeAwgTfbsHaibH1hescSix5Pcr1xUniPk	0.885936435	0.90190484	0.783403657	0.550595977
wgEncodeAwgTfbsUtaMcf7Pol2UniPk	0.80879863	0.812098521	0.712273642	0.457442638
wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk	0.859928248	0.876814168	0.775700935	0.549312823
wgEncodeAwgTfbsSydhPbdefetalGata1UcdUniPk	0.925367294	0.924665138	0.848560701	0.713956782
wgEncodeAwgTfbsSydhK562Brg1IggmusUniPk	0.783809908	0.789305244	0.71092952	0.421510591
wgEncodeAwgTfbsUtaGlioblaCtcfUniPk	0.958592351	0.960873682	0.894454236	0.788824026
wgEncodeAwgTfbsHaibHepg2Ctcfsc5916V0416101UniPk	0.973496681	0.974213573	0.916138514	0.831688325
wgEncodeAwgTfbsSydhA549CebpbIggrabUniPk	0.979713401	0.979899918	0.93182862	0.863301024
