dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.964371059	0.969586328	0.90473018	0.808698809
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.96039945	0.965513212	0.903156325	0.809338157
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.810937769	0.814368582	0.723971412	0.468344885
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.982879603	0.983735747	0.93905073	0.877566706
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.637383459	0.636789819	0.599613153	0.19868436
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.843769716	0.848400884	0.755613126	0.5204638
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.817241176	0.826202403	0.740682825	0.464648433
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.926794493	0.928584758	0.849958089	0.690068634
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.92814127	0.934769547	0.849165227	0.710355891
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.846824178	0.865265602	0.777898158	0.550479142
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.899087154	0.901472074	0.821499293	0.638961745
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.831824503	0.841501767	0.758465011	0.454986594
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.547034057	0.548832773	0.670005565	0
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.886724319	0.894305633	0.80610687	0.609788793
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.876747982	0.879258796	0.788984738	0.594888141
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.91157105	0.933270659	0.866541921	0.739103418
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.63597973	0.593367972	0.533916849	0.183977141
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.971679077	0.975142993	0.918016022	0.839499624
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.961459317	0.967590979	0.902548055	0.811203702
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.696124514	0.724439394	0.680628272	0.283479547
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.976154974	0.975958208	0.923885281	0.84789292
