dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.974301	0.977461	0.929571	0.866651
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.968312	0.969271	0.927903	0.856516
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.834843	0.846647	0.741172	0.504156
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.980088	0.972959	0.945353	0.890113
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.788256	0.804516	0.717047	0.376510
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.842480	0.846957	0.760229	0.539543
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.851374	0.857623	0.746956	0.542389
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.992479	0.992591	0.965812	0.930632
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.921206	0.925977	0.840595	0.674428
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.837261	0.857319	0.742857	0.577931
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.928145	0.930381	0.854698	0.703823
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.866838	0.886154	0.792062	0.586983
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.739029	0.733287	0.681783	0.320687
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.890773	0.896414	0.804026	0.622211
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.902136	0.910493	0.824779	0.651196
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.948273	0.935973	0.889977	0.772933
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.717032	0.693161	0.480480	0.362266
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.978386	0.980262	0.934806	0.869393
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.971267	0.975841	0.926358	0.855562
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.929494	0.950434	0.850220	0.753865
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.968225	0.958126	0.921476	0.842122
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.874519	0.886249	0.776076	0.590103
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk	0.901682	0.909969	0.823325	0.639107
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk	0.802160	0.799286	0.740156	0.455383
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.868021	0.873664	0.783040	0.575993
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.888450	0.895690	0.787176	0.621375
wgEncodeAwgTfbsUwK562CtcfUniPk	0.983076	0.984088	0.939553	0.880683
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.964576	0.958159	0.910371	0.817577
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.976183	0.974620	0.924566	0.852260
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.986149	0.986341	0.949387	0.899429
wgEncodeAwgTfbsSydhK562Pol2s2UniPk	0.686932	0.686607	0.423208	0.243887
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.941907	0.956587	0.870849	0.780814
