dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.971292	0.974921	0.929874	0.867798
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.963486	0.962205	0.930194	0.865368
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.844844	0.848224	0.764016	0.527683
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.978723	0.971217	0.949621	0.900071
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.835143	0.846550	0.732218	0.517949
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.850972	0.861252	0.775475	0.559510
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.854340	0.862918	0.741892	0.551679
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.991243	0.991770	0.960492	0.922632
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.933748	0.937493	0.859190	0.716601
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.875800	0.889576	0.809524	0.648491
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.927314	0.928321	0.846638	0.701801
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.880888	0.893937	0.783078	0.593359
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.779501	0.776162	0.594427	0.374135
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.896339	0.897092	0.818213	0.634301
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.898875	0.908467	0.820646	0.646556
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.947455	0.936314	0.890502	0.782282
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.720539	0.658770	0.510101	0.247700
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.974700	0.970376	0.939166	0.878737
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.964530	0.965240	0.924484	0.855674
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.923035	0.948562	0.873747	0.752953
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.966111	0.955685	0.922292	0.844468
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.883527	0.892471	0.785952	0.616382
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk	0.903609	0.909652	0.822252	0.649472
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk	0.818703	0.816908	0.753168	0.483926
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.878093	0.879956	0.796271	0.573496
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.892196	0.901854	0.808028	0.634680
wgEncodeAwgTfbsUwK562CtcfUniPk	0.982180	0.979435	0.943643	0.888323
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.965233	0.960393	0.919800	0.841527
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.971773	0.961550	0.934061	0.865968
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.986270	0.984960	0.951570	0.904530
wgEncodeAwgTfbsSydhK562Pol2s2UniPk	0.688381	0.696481	0.555233	0.295305
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.948183	0.960082	0.881720	0.787917
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.980833	0.981761	0.939259	0.878077
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.981289	0.975264	0.948187	0.895853
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.944240	0.951494	0.877676	0.779996
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.946788	0.941041	0.883449	0.771820
wgEncodeAwgTfbsSydhK562Brf2UniPk	0.688029	0.729937	0.512195	0.328340
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk	0.723449	0.747749	0.659574	0.325228
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.974011	0.968211	0.941667	0.885092
wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk	0.850942	0.865380	0.722892	0.534890
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk	0.811687	0.816824	0.712713	0.454967
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.892517	0.895555	0.801781	0.626037
wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk	0.818225	0.819930	0.727684	0.484801
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.985664	0.982032	0.966558	0.932968
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.959495	0.954907	0.916320	0.833659
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk	0.834758	0.839316	0.766028	0.517463
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.913305	0.908133	0.837493	0.663541
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.896379	0.899272	0.821342	0.635654
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.901728	0.909768	0.822695	0.646659
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.872284	0.878807	0.775313	0.585909
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk	0.894674	0.899091	0.809994	0.635527
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.860188	0.862311	0.755958	0.558484
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.896312	0.902537	0.804019	0.637555
wgEncodeAwgTfbsSydhK562P300IggrabUniPk	0.915930	0.910726	0.843762	0.684204
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.858267	0.861175	0.780911	0.562649
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.950143	0.936250	0.902264	0.804664
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.910604	0.911607	0.807547	0.671056
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk	0.947664	0.960877	0.880000	0.784952
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.983825	0.980986	0.945931	0.892467
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.946439	0.941365	0.882608	0.765314
wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk	0.909868	0.916611	0.820132	0.672337
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.978687	0.974717	0.939265	0.880893
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk	0.864695	0.869062	0.782508	0.569326
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk	0.823143	0.822475	0.740288	0.492314
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk	0.770272	0.757625	0.670398	0.395172
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.834799	0.835758	0.730174	0.512736
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk	0.829717	0.822019	0.744361	0.497243
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk	0.797097	0.804084	0.721202	0.455790
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.942472	0.948964	0.885629	0.769974
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.920230	0.931710	0.836820	0.687579
wgEncodeAwgTfbsBroadK562Sap3039731UniPk	0.810651	0.809934	0.746137	0.465764
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.911439	0.914612	0.821444	0.671876
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.899155	0.907335	0.821724	0.655664
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.888491	0.895094	0.776516	0.614048
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.844188	0.848531	0.717073	0.512827
wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk	0.773820	0.812482	0.638469	0.421092
wgEncodeAwgTfbsSydhK562Kap1UcdUniPk	0.880451	0.905049	0.778826	0.620380
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk	0.908109	0.919235	0.799413	0.654629
wgEncodeAwgTfbsSydhHek293Pol2UniPk	0.835491	0.843306	0.760851	0.505432
wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk	0.818457	0.818639	0.742220	0.480530
wgEncodeAwgTfbsSydhHelas3Zkscan1hpa006672IggrabUniPk	0.864620	0.887275	0.774468	0.543744
wgEncodeAwgTfbsSydhK562Tblr1nb600270IggrabUniPk	0.912555	0.922209	0.824071	0.658825
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk	0.940272	0.926384	0.883066	0.768867
wgEncodeAwgTfbsHaibHepg2Rad21V0416101UniPk	0.958617	0.958667	0.914673	0.838393
wgEncodeAwgTfbsUtaH1hescPol2UniPk	0.829971	0.834991	0.750390	0.493218
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk	0.892458	0.900587	0.805145	0.641857
wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk	0.973045	0.964185	0.940797	0.885394
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	0.928118	0.935240	0.846785	0.717906
wgEncodeAwgTfbsBroadK562P300UniPk	0.796286	0.826285	0.709804	0.437621
wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk	0.916398	0.912684	0.844086	0.696805
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk	0.920539	0.930677	0.839046	0.685979
wgEncodeAwgTfbsBroadK562Ezh239875UniPk	0.697454	0.661673	0.489796	0.252604
wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk	0.908735	0.915579	0.836694	0.672753
wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk	0.810855	0.811046	0.724239	0.470592
wgEncodeAwgTfbsSydhGm12878P300bUniPk	0.930387	0.932510	0.845133	0.713054
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk	0.920366	0.926338	0.848243	0.693362
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk	0.933028	0.944116	0.861005	0.729594
wgEncodeAwgTfbsBroadHmecCtcfUniPk	0.980256	0.978260	0.948614	0.898754
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk	0.930227	0.942630	0.851551	0.712877
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk	0.959539	0.967864	0.909755	0.819176
wgEncodeAwgTfbsSydhK562Hmgn3UniPk	0.841635	0.842537	0.770357	0.540316
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.879749	0.889476	0.782353	0.606727
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.987870	0.990306	0.964659	0.929826
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.864837	0.877246	0.772762	0.560660
wgEncodeAwgTfbsSydhGm12878WhipIggmusUniPk	0.768848	0.778680	0.683482	0.402107
wgEncodeAwgTfbsSydhHepg2Smc3ab9263IggrabUniPk	0.957687	0.964423	0.896732	0.809453
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.834617	0.839255	0.746826	0.509181
wgEncodeAwgTfbsSydhK562Ccnt2UniPk	0.859968	0.861762	0.755226	0.552704
