dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.974935	0.976499	0.935987	0.873481
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.967786	0.971129	0.927546	0.857939
wgEncodeAwgTfbsSydhGm12878Tblr1ab24550IggmusUniPk	0.839934	0.836128	0.765023	0.529181
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.983971	0.980536	0.947083	0.894625
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.804045	0.816583	0.665179	0.447815
wgEncodeAwgTfbsHaibPfsk1Sin3ak20V0416101UniPk	0.850238	0.863075	0.760144	0.553330
wgEncodeAwgTfbsSydhGm12878Mazab85725IggmusUniPk	0.861380	0.867885	0.778815	0.553199
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.992314	0.992732	0.964867	0.928844
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.933113	0.937125	0.858097	0.716914
wgEncodeAwgTfbsSydhK562Sirt6UniPk	0.874203	0.880518	0.782609	0.580174
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk	0.921732	0.918870	0.849634	0.700643
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.880556	0.896321	0.804518	0.615345
wgEncodeAwgTfbsBroadHelas3Pol2bUniPk	0.778131	0.759843	0.684956	0.407840
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.889342	0.887126	0.814512	0.634918
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.894611	0.903629	0.803719	0.633212
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.942278	0.930886	0.888234	0.775338
wgEncodeAwgTfbsSydhHelas3Brg1IggmusUniPk	0.708758	0.636567	0.639376	0.311427
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.976274	0.974543	0.936036	0.872886
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.965775	0.967913	0.924884	0.855855
wgEncodeAwgTfbsSydhK562Rpc155UniPk	0.949650	0.963439	0.884211	0.792859
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.968036	0.961009	0.917055	0.835351
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.877902	0.890226	0.787230	0.599123
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk	0.908832	0.916323	0.818009	0.661046
wgEncodeAwgTfbsSydhMcf10aesPol2Etoh01UniPk	0.812774	0.809236	0.739021	0.471631
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.872449	0.876234	0.785087	0.590527
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.886720	0.895576	0.806981	0.614641
wgEncodeAwgTfbsUwK562CtcfUniPk	0.974894	0.967273	0.941044	0.881648
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.963447	0.954882	0.917052	0.831600
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.975177	0.968927	0.930642	0.859422
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.983842	0.980680	0.954733	0.909904
wgEncodeAwgTfbsSydhK562Pol2s2UniPk	0.691954	0.690753	0.622276	0.268646
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.949490	0.960125	0.894366	0.805081
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.974385	0.969374	0.941065	0.883340
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.980323	0.975175	0.944519	0.889851
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.948111	0.955993	0.873996	0.774084
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.950301	0.950240	0.882193	0.775168
wgEncodeAwgTfbsSydhK562Brf2UniPk	0.693530	0.712416	0.568365	0.283742
wgEncodeAwgTfbsSydhA549Pol2s2IggrabUniPk	0.717702	0.742603	0.488670	0.277890
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.975267	0.971035	0.938582	0.878843
wgEncodeAwgTfbsSydhK562Setdb1UcdUniPk	0.848565	0.863755	0.745931	0.535028
wgEncodeAwgTfbsBroadK562Hdac2a300705aUniPk	0.813067	0.821930	0.695148	0.458265
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.891281	0.889712	0.810086	0.625557
wgEncodeAwgTfbsSydhGm19099Pol2IggmusUniPk	0.809986	0.811890	0.720140	0.468370
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.986643	0.980727	0.964383	0.927860
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.958064	0.955513	0.904126	0.822554
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk	0.830972	0.837331	0.737428	0.495121
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.910272	0.913527	0.830809	0.651049
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.895513	0.902075	0.813241	0.638689
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.896770	0.910412	0.810280	0.650755
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.868242	0.872040	0.791958	0.573060
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk	0.888775	0.897015	0.804442	0.628639
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.861580	0.864528	0.770288	0.565292
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.892929	0.897532	0.800657	0.629035
wgEncodeAwgTfbsSydhK562P300IggrabUniPk	0.915528	0.915463	0.839857	0.681009
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.860276	0.864238	0.773472	0.557815
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.953865	0.945394	0.894978	0.795494
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.901411	0.902210	0.804826	0.638827
wgEncodeAwgTfbsSydhGm08714Znf274UcdUniPk	0.951997	0.960579	0.851485	0.727504
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.984770	0.983099	0.945335	0.890344
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.947094	0.947727	0.873181	0.748195
wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk	0.908935	0.912065	0.841036	0.678101
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.976967	0.971209	0.939328	0.879871
wgEncodeAwgTfbsSydhGm12878Chd2ab68301IggmusUniPk	0.858845	0.867386	0.773128	0.545086
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk	0.815963	0.814046	0.714652	0.470624
wgEncodeAwgTfbsBroadK562Chd1a301218aUniPk	0.765998	0.762099	0.708944	0.383127
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.839565	0.838381	0.745370	0.517507
wgEncodeAwgTfbsSydhH1hescSuz12UcdUniPk	0.808781	0.812709	0.699942	0.458483
wgEncodeAwgTfbsSydhGm12878Pol2s2IggmusUniPk	0.791337	0.793945	0.698680	0.417741
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.939819	0.951270	0.872021	0.755324
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.915328	0.923932	0.827692	0.644674
wgEncodeAwgTfbsBroadK562Sap3039731UniPk	0.805410	0.799447	0.697237	0.456057
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.912372	0.917843	0.822855	0.661707
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.895480	0.903039	0.808929	0.625139
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.883367	0.885210	0.803103	0.601242
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.843844	0.846091	0.730539	0.525109
wgEncodeAwgTfbsSydhK562Setdb1MnasedUcdUniPk	0.765639	0.806994	0.695431	0.389633
wgEncodeAwgTfbsSydhK562Kap1UcdUniPk	0.873011	0.899065	0.771984	0.591491
