dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.842988786	0.867408265	0.740601944	0.542208412
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.826653039	0.85130208	0.699539707	0.498543916
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.87989139	0.895145025	0.772729096	0.582534038
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.796115322	0.76302924	0.660066007	0.43298903
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.806355384	0.804465817	0.66704481	0.437016438
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.915998297	0.912541092	0.852493539	0.71606894
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.855782261	0.860446052	0.773780488	0.548568539
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.840680796	0.83333876	0.729904547	0.530341542
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.744889864	0.749444497	0.659184272	0.350319976
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.795646746	0.803500542	0.706605908	0.450686744
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.842188631	0.862752418	0.703962113	0.521041274
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.831390376	0.8589061	0.718694424	0.538017301
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.86027999	0.869337536	0.765911227	0.594722234
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.870431302	0.865630827	0.783338994	0.572074036
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.833984209	0.833364248	0.728038205	0.536268129
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.741310589	0.744337604	0.638871071	0.33759331
wgEncodeAwgTfbsUwK562CtcfUniPk	0.84173039	0.863549205	0.718450594	0.524694167
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.850080528	0.847364471	0.754674145	0.529883909
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.874553888	0.885782329	0.758425303	0.569938155
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.841106786	0.865091802	0.729185362	0.553183232
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.878047165	0.920785989	0.804878049	0.629384309
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.830500917	0.858494578	0.723919649	0.533369916
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.850301992	0.868679942	0.690769162	0.532211516
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.771016893	0.784129253	0.643412933	0.373574104
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.84478628	0.853196503	0.75177495	0.542340319
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.841814952	0.864688475	0.723622445	0.546028646
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.780723169	0.776006728	0.701051172	0.409494038
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.859115544	0.882218141	0.734975021	0.585209579
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.856905407	0.864653472	0.753419304	0.545326319
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.782437562	0.780733952	0.701786155	0.417038188
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.783533824	0.783487514	0.673900448	0.419048758
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.8821286	0.881290858	0.804893964	0.601322168
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.779296084	0.767739915	0.664590747	0.397041384
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.837901152	0.830273131	0.763810501	0.504503279
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.864791475	0.872492298	0.750250313	0.571822103
