dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.823577783	0.84302774	0.720535714	0.474018381
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.799652717	0.812794365	0.717438997	0.422080374
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.84401666	0.857969744	0.718925253	0.511095616
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.771123891	0.740253208	0.705577173	0.39331
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.78709765	0.790899123	0.714216867	0.414184937
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.858566262	0.860884561	0.784896425	0.546753008
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.833939648	0.835086421	0.763119745	0.500419594
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.773836811	0.763692813	0.707462198	0.399701242
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.723759586	0.739951101	0.598913759	0.333353818
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.753322091	0.753771587	0.686259221	0.371769006
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.806456036	0.821405056	0.67845517	0.435002224
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.812425432	0.824940784	0.713387157	0.452471071
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.841251413	0.851193709	0.752527712	0.526073704
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.828153469	0.822976485	0.753031528	0.480519021
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.771982867	0.761154481	0.705151548	0.393885746
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.712159374	0.711318641	0.63691825	0.296734234
wgEncodeAwgTfbsUwK562CtcfUniPk	0.814745695	0.8223278	0.698399294	0.439276501
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.829807323	0.827050105	0.744099538	0.489260905
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.826703741	0.823643732	0.737818848	0.470413338
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.824328077	0.834284692	0.687392225	0.469618567
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.858174351	0.896881589	0.833333333	0.643768013
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.81745307	0.830365085	0.704975923	0.46253906
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.820111687	0.831131301	0.715237876	0.459121292
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.725395329	0.732132755	0.66661542	0.307984096
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.84278065	0.838187927	0.763958783	0.512510436
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.82186584	0.842496036	0.704690643	0.494355786
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.755243849	0.752025507	0.67985382	0.370484277
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.837444813	0.859748487	0.717818146	0.530810616
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.834739146	0.838979118	0.744475991	0.498123301
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.753049406	0.749138784	0.696164277	0.368812317
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.755956622	0.752804208	0.661081026	0.371959272
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.845478435	0.845538165	0.765036688	0.512784238
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.760246925	0.75024761	0.714285714	0.389760361
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.821414467	0.817133028	0.748299789	0.475720318
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.821894514	0.821300482	0.739715536	0.47206114
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.845843701	0.844742703	0.7671422	0.515023262
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.754078827	0.749921881	0.684185351	0.377627009
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.829535776	0.813760399	0.764098022	0.496910355
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.821932264	0.834072542	0.716445379	0.461365123
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.763969069	0.776662005	0.661424399	0.389826575
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.830757057	0.843548739	0.733120256	0.475732507
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.83322921	0.81929391	0.763871664	0.506549384
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.834405762	0.833135236	0.743958197	0.498550354
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.789068491	0.794794326	0.705838877	0.431955063
