dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.818267518	0.840769643	0.7060505	0.490891222
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.813076521	0.829081053	0.682187615	0.460148085
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.849180674	0.867631207	0.730880321	0.533157928
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.684807861	0.627916691	0.613037448	0.234932419
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.767048007	0.769358843	0.705670567	0.359159497
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.882260964	0.873212785	0.822255746	0.630383272
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.812165688	0.813339148	0.763362879	0.468160842
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.666154214	0.70696001	0.660490299	0.370840775
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.718237923	0.729823515	0.575971431	0.3235063
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.752945318	0.756158574	0.656104565	0.381421544
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.81614474	0.833033127	0.699175389	0.46300479
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.824266914	0.838239237	0.70805169	0.480565242
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.86003335	0.867396433	0.788406551	0.572718097
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.825105814	0.819342412	0.740493257	0.478570046
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.789586655	0.775212612	0.734515142	0.447654032
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.712056066	0.708777314	0.621173469	0.300109951
wgEncodeAwgTfbsUwK562CtcfUniPk	0.826793436	0.84016643	0.70330371	0.474268183
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.823504695	0.817142666	0.732396252	0.488389187
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.849539538	0.857856093	0.742411382	0.511483998
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.840713181	0.853791879	0.726798846	0.5020668
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.816507684	0.858064387	0.744360902	0.446977359
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.825375681	0.821101816	0.711721225	0.483411167
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.835508456	0.847397613	0.720623068	0.499916326
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.718131191	0.726453478	0.566019696	0.293834307
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.839040221	0.834078197	0.753904282	0.513626585
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.824224698	0.843933198	0.709017117	0.502151196
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.759156099	0.754743017	0.682066164	0.375190497
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.847057072	0.870549832	0.736527667	0.552518634
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.834404388	0.843583837	0.726518598	0.512269236
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.748479853	0.745264485	0.662370697	0.361061274
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.748815018	0.742040902	0.654337386	0.359246291
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.83542969	0.834478504	0.750611247	0.501766928
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.742993114	0.734914434	0.672981878	0.356892583
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.820820796	0.814553959	0.735280382	0.468703103
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.819459521	0.820268566	0.722857473	0.46873568
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.834935746	0.821955214	0.776506819	0.517985794
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.766842688	0.768485143	0.691955605	0.393371781
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.83191839	0.815415937	0.766254361	0.52605261
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.832224173	0.848222041	0.720566353	0.487245567
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.760645567	0.776567632	0.650557621	0.396374895
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.842791094	0.858743399	0.724736427	0.505611705
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.816484724	0.807469913	0.747965716	0.475364369
