dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.842389	0.85665	0.731948	0.544155
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.819408	0.836025	0.702634	0.471289
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.858019	0.875275	0.753715	0.556302
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.844613	0.837546	0.731392	0.544825
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.835227	0.838257	0.738303	0.499307
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.887344	0.883536	0.822189	0.64702
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.867236	0.871586	0.73306	0.549634
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.803774	0.780941	0.741395	0.494704
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.730192	0.736495	0.629094	0.343253
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.772293	0.774421	0.708916	0.409006
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.825444	0.841375	0.70527	0.487544
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.833145	0.845608	0.721074	0.502473
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.835021	0.84458	0.7506	0.548417
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.846525	0.823016	0.779784	0.554894
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.814955	0.801935	0.703335	0.488517
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.734046	0.738955	0.633524	0.345763
wgEncodeAwgTfbsUwK562CtcfUniPk	0.832375	0.846942	0.67685	0.502163
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.839428	0.825016	0.755387	0.530739
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.853125	0.856636	0.706107	0.528063
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.833998	0.844947	0.668293	0.51714
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.887056	0.927289	0.787879	0.647302
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.83575	0.852802	0.705735	0.516823
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.82978	0.842256	0.690075	0.511698
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.757765	0.768295	0.701661	0.358528
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.845995	0.833042	0.773247	0.546219
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.824638	0.85214	0.704325	0.533476
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.778158	0.766098	0.719625	0.433832
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.839552	0.86358	0.735695	0.551707
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.836142	0.829894	0.753114	0.525162
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.779669	0.776825	0.70304	0.418404
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.772959	0.761054	0.693898	0.416392
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.873135	0.863744	0.787353	0.603486
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.822157	0.829773	0.746885	0.473792
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.82554	0.804055	0.756113	0.509578
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.846532	0.83384	0.773316	0.556536
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.855998	0.840882	0.798336	0.565119
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.768154	0.760219	0.689961	0.407136
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.885049	0.888528	0.78821	0.637512
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.837291	0.851923	0.704867	0.510242
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.813869	0.830187	0.729363	0.498704
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.838993	0.852342	0.709675	0.529612
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.852466	0.82986	0.791915	0.573634
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.853317	0.848609	0.748159	0.5571
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.811192	0.813243	0.697079	0.474969
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.837264	0.833063	0.738931	0.510342
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.807488	0.779912	0.720652	0.452075
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.676107	0.661001	0.524625	0.248427
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.841747	0.821934	0.783263	0.533849
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk	0.811451	0.802786	0.738121	0.464007
