dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.828048	0.845967	0.726732	0.527965
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.820685	0.828728	0.713163	0.48699
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.860632	0.86919	0.763878	0.555326
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.84526	0.838277	0.752475	0.51938
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.841134	0.844487	0.76087	0.521793
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.895523	0.887042	0.836839	0.673366
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.877848	0.879647	0.806559	0.612345
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.80716	0.784342	0.753264	0.491468
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.728632	0.735872	0.643493	0.341179
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.776564	0.779662	0.707462	0.417901
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.831344	0.846763	0.696948	0.498159
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.829118	0.834148	0.725072	0.507929
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.832217	0.8412	0.728499	0.534666
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.855575	0.834969	0.787689	0.577416
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.822393	0.804755	0.745705	0.520088
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.746775	0.737778	0.672868	0.364822
wgEncodeAwgTfbsUwK562CtcfUniPk	0.829817	0.837365	0.721896	0.500198
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.842057	0.828435	0.752679	0.537892
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.85531	0.857873	0.735297	0.537553
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.838957	0.845576	0.718534	0.537358
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.865262	0.913974	0.707547	0.584649
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.837444	0.854318	0.702445	0.515804
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.833866	0.839144	0.735309	0.514201
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.762011	0.762646	0.684375	0.372146
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.857029	0.845041	0.745677	0.561423
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.823783	0.849768	0.700297	0.526402
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.78321	0.767645	0.714608	0.437317
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.835823	0.860874	0.727847	0.555077
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.838657	0.833921	0.759214	0.532338
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.785283	0.781633	0.671377	0.427977
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.778195	0.76292	0.712138	0.428748
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.877436	0.868995	0.797022	0.613099
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.823583	0.826285	0.754788	0.474921
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.827823	0.799214	0.774774	0.524763
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.851086	0.828957	0.790081	0.565321
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.856545	0.828148	0.799176	0.557134
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.776321	0.774923	0.662468	0.421713
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.884752	0.881887	0.813766	0.627124
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.839916	0.854572	0.723341	0.513069
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.811479	0.821919	0.699546	0.507011
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.851535	0.863719	0.762073	0.515131
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.853454	0.830312	0.786378	0.583032
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.856346	0.844772	0.776205	0.569067
