dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.826509	0.844386	0.702858	0.521177
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.818436	0.829855	0.694158	0.476285
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.849372	0.869041	0.751597	0.536245
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.835335	0.836406	0.717220	0.505712
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.832780	0.845087	0.750739	0.500009
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.891140	0.887148	0.821751	0.653386
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.882317	0.884115	0.760658	0.585693
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.810515	0.793845	0.743000	0.504147
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.728276	0.733250	0.634724	0.345598
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.773485	0.774294	0.650740	0.412653
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.826814	0.839665	0.720937	0.486458
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.834268	0.849353	0.723180	0.508280
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.831505	0.835342	0.739365	0.544436
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.856973	0.833619	0.783853	0.573580
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.820929	0.804426	0.754901	0.506452
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.736046	0.728472	0.657713	0.346606
wgEncodeAwgTfbsUwK562CtcfUniPk	0.828219	0.839826	0.728518	0.487437
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.834549	0.820603	0.750386	0.524070
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.850699	0.854908	0.727574	0.535195
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.844189	0.856284	0.721124	0.523219
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.872913	0.920578	0.821138	0.662136
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.832568	0.844081	0.727316	0.502496
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.831132	0.843435	0.694399	0.501974
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.753467	0.763267	0.579596	0.347657
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk	0.851235	0.837804	0.775470	0.548420
wgEncodeAwgTfbsSydhImr90MafkIggrabUniPk	0.818654	0.844534	0.686863	0.517522
wgEncodeAwgTfbsSydhK562CmycIggrabUniPk	0.781033	0.767066	0.644337	0.418933
wgEncodeAwgTfbsSydhHepg2Mafkab50322IggrabUniPk	0.831238	0.858257	0.728743	0.546745
wgEncodeAwgTfbsHaibK562Usf1V0416101UniPk	0.837073	0.828874	0.756412	0.539127
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk	0.777045	0.774932	0.670180	0.414914
wgEncodeAwgTfbsSydhK562CmycIfng30UniPk	0.780051	0.771103	0.679950	0.426748
wgEncodeAwgTfbsHaibK562Sp1Pcr1xUniPk	0.877063	0.866903	0.813617	0.612478
wgEncodeAwgTfbsUtaHelas3CmycUniPk	0.820884	0.828179	0.746753	0.494240
wgEncodeAwgTfbsSydhK562E2f6UcdUniPk	0.831254	0.806133	0.773225	0.520213
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk	0.854935	0.836654	0.781728	0.572421
wgEncodeAwgTfbsHaibK562Thap1sc98174V0416101UniPk	0.860153	0.840687	0.803008	0.571547
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk	0.775449	0.771612	0.690389	0.421184
wgEncodeAwgTfbsHaibT47dEraaV0416102Bpa1hUniPk	0.888885	0.890182	0.808781	0.613562
wgEncodeAwgTfbsUwGm12874CtcfUniPk	0.831424	0.847100	0.707745	0.500575
wgEncodeAwgTfbsSydhMcf10aesStat3Etoh01UniPk	0.809605	0.820686	0.691544	0.493967
wgEncodeAwgTfbsSydhGm12878Ctcfsc15914c20UniPk	0.842013	0.851691	0.747828	0.524009
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk	0.855035	0.832602	0.773980	0.568340
wgEncodeAwgTfbsHaibA549Usf1Pcr1xEtoh02UniPk	0.852417	0.846324	0.776722	0.564102
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk	0.832586	0.837400	0.759657	0.518066
wgEncodeAwgTfbsHaibK562Yy1V0416101UniPk	0.841785	0.830951	0.776439	0.526532
wgEncodeAwgTfbsHaibSknshraYy1sc281V0416102UniPk	0.804530	0.770932	0.737582	0.447779
wgEncodeAwgTfbsSydhHepg2Arid3anb100279IggrabUniPk	0.686952	0.671705	0.595321	0.274970
wgEncodeAwgTfbsSydhHelas3E2f6UniPk	0.847810	0.821047	0.781169	0.564100
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk	0.818939	0.810928	0.753486	0.458701
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk	0.790121	0.777900	0.717832	0.436719
wgEncodeAwgTfbsHaibA549Elf1V0422111Etoh02UniPk	0.804330	0.793955	0.716274	0.464710
wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk	0.843990	0.836236	0.768340	0.547534
wgEncodeAwgTfbsHaibA549Usf1V0422111Etoh02UniPk	0.837470	0.839677	0.757306	0.505078
wgEncodeAwgTfbsHaibK562Tead4sc101184V0422111UniPk	0.698656	0.698913	0.577348	0.291677
wgEncodeAwgTfbsHaibA549Usf1Pcr1xDex100nmUniPk	0.841067	0.842906	0.760497	0.544997
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk	0.803473	0.800583	0.699791	0.447059
wgEncodeAwgTfbsSydhK562CjunIfna30UniPk	0.820123	0.835180	0.720050	0.516694
wgEncodeAwgTfbsBroadHmecCtcfUniPk	0.839910	0.859186	0.697294	0.522047
wgEncodeAwgTfbsHaibPanc1NrsfPcr2xUniPk	0.777831	0.778594	0.617707	0.410166
wgEncodeAwgTfbsSydhH1hescUsf2IggrabUniPk	0.879033	0.872383	0.803797	0.623413
wgEncodeAwgTfbsSydhPbdeGata1UcdUniPk	0.714212	0.725857	0.591103	0.319927
wgEncodeAwgTfbsHaibEcc1CtcfcV0416102Dm002p1hUniPk	0.848246	0.861938	0.718583	0.550517
wgEncodeAwgTfbsSydhGm12878E2f4IggmusUniPk	0.888455	0.882532	0.813971	0.629381
wgEncodeAwgTfbsUtaMcf7CmycSerumstvdUniPk	0.808128	0.814578	0.710841	0.489824
wgEncodeAwgTfbsUtaH1hescCmycUniPk	0.791736	0.807218	0.601748	0.463506
wgEncodeAwgTfbsSydhH1hescNrf1IggrabUniPk	0.903890	0.887670	0.842235	0.683381
wgEncodeAwgTfbsSydhHelas3Usf2IggmusUniPk	0.847863	0.838920	0.730248	0.540373
wgEncodeAwgTfbsUwHct116CtcfUniPk	0.821722	0.841537	0.647812	0.490050
wgEncodeAwgTfbsSydhHepg2Srebp1InslnUniPk	0.855427	0.832260	0.779766	0.572336
wgEncodeAwgTfbsSydhMcf10aesCfosTam14hHvdUniPk	0.815471	0.812581	0.716905	0.511703
wgEncodeAwgTfbsUtaMcf7CtcfVehUniPk	0.827864	0.838524	0.699182	0.492453
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk	0.838060	0.846068	0.746446	0.507800
wgEncodeAwgTfbsUwHrpeCtcfUniPk	0.834364	0.852631	0.709156	0.512495
wgEncodeAwgTfbsUwHacCtcfUniPk	0.821561	0.831459	0.716271	0.473048
wgEncodeAwgTfbsUtaMcf7CtcfEstroUniPk	0.842465	0.856627	0.733205	0.522955
wgEncodeAwgTfbsSydhK562CmycIfna30UniPk	0.825716	0.826636	0.743641	0.511098
wgEncodeAwgTfbsUtaProgfibCtcfUniPk	0.848507	0.854221	0.747886	0.538158
wgEncodeAwgTfbsBroadH1hescCtcfUniPk	0.832928	0.846886	0.727911	0.485836
wgEncodeAwgTfbsSydhH1hescBach1sc14700IggrabUniPk	0.828458	0.815246	0.725619	0.507702
wgEncodeAwgTfbsSydhK562JundIggrabUniPk	0.812006	0.803080	0.728921	0.500169
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk	0.794173	0.790507	0.710807	0.448351
wgEncodeAwgTfbsSydhK562CjunIfna6hUniPk	0.789471	0.809420	0.666667	0.436235
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk	0.806684	0.815879	0.682614	0.463385
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk	0.912445	0.928641	0.831956	0.684951
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk	0.787685	0.808576	0.720134	0.461205
wgEncodeAwgTfbsHaibA549Ctcfsc5916Pcr1xEtoh02UniPk	0.849368	0.866046	0.722249	0.545900
wgEncodeAwgTfbsUwHuvecCtcfUniPk	0.841244	0.854350	0.735139	0.510318
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk	0.919957	0.915632	0.846945	0.704770
wgEncodeAwgTfbsSydhK562Gata2UcdUniPk	0.769762	0.756611	0.706317	0.372680
wgEncodeAwgTfbsSydhGm12878Tr4UniPk	0.912236	0.916863	0.822097	0.672609
wgEncodeAwgTfbsSydhHepg2Mafksc477IggrabUniPk	0.825539	0.846087	0.718935	0.534679
wgEncodeAwgTfbsBroadOsteoblCtcfUniPk	0.797620	0.814090	0.665848	0.432843
wgEncodeAwgTfbsSydhHelas3MafkIggrabUniPk	0.793159	0.811636	0.701021	0.467633
wgEncodeAwgTfbsHaibSknmcFoxp2Pcr2xUniPk	0.770276	0.752768	0.716434	0.412708
wgEncodeAwgTfbsSydhImr90CtcfbIggrabUniPk	0.842810	0.855714	0.733429	0.519000
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk	0.768838	0.763246	0.649864	0.398464
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk	0.808819	0.792406	0.722981	0.459446
wgEncodeAwgTfbsUtaGm19238CtcfUniPk	0.829983	0.839645	0.704693	0.490644
wgEncodeAwgTfbsUwHl60CtcfUniPk	0.847933	0.857574	0.740479	0.532534
wgEncodeAwgTfbsUwHffmycCtcfUniPk	0.811119	0.831793	0.692071	0.458644
wgEncodeAwgTfbsSydhGm12878Stat3IggmusUniPk	0.751953	0.749185	0.630544	0.374229
wgEncodeAwgTfbsSydhA549MaxIggrabUniPk	0.865930	0.859410	0.797313	0.604717
wgEncodeAwgTfbsUwGm06990CtcfUniPk	0.826296	0.844468	0.697594	0.499702
wgEncodeAwgTfbsBroadK562CtcfUniPk	0.793815	0.799838	0.704128	0.422334
wgEncodeAwgTfbsSydhHelas3Stat1Ifng30UniPk	0.759509	0.762754	0.669109	0.412060
wgEncodeAwgTfbsUtaK562CmycUniPk	0.850904	0.845095	0.780009	0.543667
wgEncodeAwgTfbsSydhHepg2CebpbForsklnUniPk	0.856869	0.845687	0.794442	0.587664
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk	0.847173	0.861851	0.700379	0.531436
wgEncodeAwgTfbsSydhK562Bhlhe40nb100IggrabUniPk	0.836402	0.825166	0.748781	0.536992
wgEncodeAwgTfbsSydhHelas3Stat3IggrabUniPk	0.750526	0.759025	0.632974	0.389638
wgEncodeAwgTfbsSydhHuvecGata2UcdUniPk	0.724307	0.740396	0.634806	0.330157
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk	0.783097	0.784853	0.690793	0.434913
wgEncodeAwgTfbsSydhK562Stat1Ifna6hUniPk	0.794860	0.832662	0.585859	0.446915
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk	0.770622	0.757913	0.703247	0.406145
wgEncodeAwgTfbsBroadHsmmCtcfUniPk	0.831016	0.838541	0.714515	0.493016
wgEncodeAwgTfbsBroadHsmmtCtcfUniPk	0.820030	0.832546	0.714658	0.470836
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk	0.708575	0.715403	0.639669	0.308125
wgEncodeAwgTfbsHaibSknshNrsfPcr2xUniPk	0.779418	0.759544	0.713915	0.414505
wgEncodeAwgTfbsSydhHepg2MaxIggrabUniPk	0.848355	0.845817	0.783841	0.575610
wgEncodeAwgTfbsUtaGm19240CtcfUniPk	0.838046	0.845462	0.691988	0.501386
wgEncodeAwgTfbsSydhHepg2Grp20ForsklnUniPk	0.938848	0.934977	0.866667	0.738278
wgEncodeAwgTfbsSydhPanc1Tcf7l2UcdUniPk	0.707147	0.699117	0.667290	0.295171
wgEncodeAwgTfbsSydhHelas3E2f1UniPk	0.881398	0.862876	0.822123	0.631675
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk	0.797712	0.790525	0.726667	0.454340
wgEncodeAwgTfbsSydhHelas3Tcf7l2UcdUniPk	0.722801	0.719998	0.620360	0.331985
wgEncodeAwgTfbsSydhK562TbpIggmusUniPk	0.770194	0.767156	0.722128	0.391092
wgEncodeAwgTfbsSydhHelas3E2f4UniPk	0.883454	0.879792	0.820261	0.624714
wgEncodeAwgTfbsHaibA549Yy1cV0422111Etoh02UniPk	0.798162	0.781993	0.707414	0.435673
wgEncodeAwgTfbsUwHepg2CtcfUniPk	0.834112	0.844657	0.712584	0.498812
wgEncodeAwgTfbsUtaHepg2CtcfUniPk	0.867674	0.880743	0.770779	0.594953
wgEncodeAwgTfbsSydhHek293Tcf7l2UcdUniPk	0.732586	0.713022	0.674464	0.344689
wgEncodeAwgTfbsSydhK562Atf3UniPk	0.873314	0.885938	0.786047	0.596692
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk	0.792695	0.770285	0.699044	0.441122
wgEncodeAwgTfbsUtaHelas3CtcfUniPk	0.852441	0.868331	0.730993	0.556741
wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk	0.910379	0.910276	0.841984	0.695481
wgEncodeAwgTfbsSydhHepg2CjunIggrabUniPk	0.805963	0.827588	0.703596	0.511362
wgEncodeAwgTfbsBroadGm12878CtcfUniPk	0.808301	0.827866	0.662347	0.460646
wgEncodeAwgTfbsHaibA549Tcf12V0422111Etoh02UniPk	0.753482	0.738266	0.694128	0.374805
wgEncodeAwgTfbsUwGm12878CtcfUniPk	0.838733	0.850123	0.728182	0.519279
wgEncodeAwgTfbsHaibK562Zbtb33Pcr1xUniPk	0.898975	0.902850	0.828564	0.651219
wgEncodeAwgTfbsSydhK562Mafkab50322IggrabUniPk	0.815336	0.848004	0.689046	0.517403
wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk	0.830809	0.823575	0.751918	0.514120
wgEncodeAwgTfbsSydhPbdefetalGata1UcdUniPk	0.796462	0.795619	0.724330	0.444315
wgEncodeAwgTfbsUtaGlioblaCtcfUniPk	0.836651	0.848669	0.730434	0.504472
wgEncodeAwgTfbsHaibHepg2Ctcfsc5916V0416101UniPk	0.853310	0.864436	0.739690	0.554281
