dataset	AUROC	AUPRC	F1	MCC
wgEncodeAwgTfbsSydhH1hescMafkIggrabUniPk	0.844925	0.868074	0.735992	0.553539
wgEncodeAwgTfbsUwWi38CtcfUniPk	0.826570	0.844379	0.666667	0.503563
wgEncodeAwgTfbsUtaGm12878CtcfUniPk	0.851552	0.866494	0.710442	0.558776
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk	0.847545	0.856476	0.724458	0.507398
wgEncodeAwgTfbsUwGm12801CtcfUniPk	0.853983	0.871021	0.767916	0.517858
wgEncodeAwgTfbsSydhHuvecMaxUniPk	0.942225	0.951621	0.876880	0.763767
wgEncodeAwgTfbsSydhHepg2Tr4UcdUniPk	0.921645	0.935727	0.837904	0.676838
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk	0.859915	0.850667	0.792122	0.599651
wgEncodeAwgTfbsSydhShsy5yGata3sc269sc269UcdUniPk	0.743811	0.757946	0.673142	0.348674
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk	0.782331	0.787587	0.677728	0.431577
wgEncodeAwgTfbsUwHeeCtcfUniPk	0.833183	0.849689	0.727266	0.497364
wgEncodeAwgTfbsUwNhlfCtcfUniPk	0.842254	0.855688	0.736494	0.529294
wgEncodeAwgTfbsSydhImr90CebpbIggrabUniPk	0.860889	0.858672	0.804523	0.632108
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk	0.904141	0.895666	0.835504	0.672562
wgEncodeAwgTfbsSydhHelas3MaxIggrabUniPk	0.871349	0.870633	0.797201	0.597070
wgEncodeAwgTfbsSydhHct116Tcf7l2UcdUniPk	0.765874	0.776940	0.666788	0.385957
wgEncodeAwgTfbsUwK562CtcfUniPk	0.829899	0.836654	0.728187	0.515758
wgEncodeAwgTfbsHaibSknshraUsf1sc8983V0416102UniPk	0.867573	0.868894	0.778503	0.574432
wgEncodeAwgTfbsUtaH1hescCtcfUniPk	0.860961	0.862004	0.754703	0.544633
wgEncodeAwgTfbsUwNb4CtcfUniPk	0.823578	0.831051	0.712878	0.546545
wgEncodeAwgTfbsSydhGm12878Nfe2sc22827UniPk	0.875464	0.922976	0.773913	0.624310
wgEncodeAwgTfbsUwAg09309CtcfUniPk	0.841886	0.855831	0.741529	0.519257
wgEncodeAwgTfbsUwHaspCtcfUniPk	0.840783	0.852672	0.732203	0.523707
wgEncodeAwgTfbsSydhK562Znf143IggrabUniPk	0.784744	0.801475	0.666842	0.399358
